Club,Country,Pot,Co
Real Madrid,ESP,1,1
Bayern Munich,GER,1,2
Inter Milan,ITA,1,3
Manchester City,ENG,1,4
Liverpool,ENG,1,5
PSG,FRA,1,6
Dortmund,GER,1,8
Barcelona,ESP,1,9
Chelsea,ENG,1,14
Leverkusen,GER,2,7
Atletico,ESP,2,12
Arsenal,ENG,2,15
Frankfurt,GER,2,16
Atalanta,ITA,2,20
PSV Eindhoven,NED,2,24
Tottenham,ENG,2,31
Juventus,ITA,2,32
Villareal,ESP,2,34
Benfica,POR,3,11
Club Brugge,BEL,3,23
Sporting Lisbon,POR,3,29
Napoli,ITA,3,35
Ajax,NED,3,37
Bodo/Glimt,NOR,3,40
Olympiacos,GRE,3,41
Copenhagen,DEN,3,43
Marseilles,FRA,3,44
Monaco,FRA,4,45
Union St Gilloise,BEL,4,54
Galatasaray,TUR,4,55
Celtic,SCO,4,56
Slavia Prague,CZE,4,57
Red Star,CRO,4,59
Ferencvaros,HUN,4,60
Bilbao,ESP,4,72
Newcastle,ENG,4,76
